epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,4824.77,0.6032,0.43377,1.17559,0.96095,0.98702,0.99111,0.85219,0.58884,0.32447,1.15338,4.95349e-05,4.95349e-05,4.95349e-05
160,4855.04,0.60434,0.42847,1.17396,0.95936,0.98888,0.99009,0.84003,0.62668,0.3338,1.20813,4.74829e-05,4.74829e-05,4.74829e-05
161,4885.31,0.60887,0.4418,1.17745,0.97233,0.97067,0.99053,0.84771,0.60099,0.33259,1.17892,4.54734e-05,4.54734e-05,4.54734e-05
162,4915.59,0.5962,0.42774,1.17242,0.96904,0.98728,0.99281,0.85118,0.60242,0.31202,1.1771,4.35069e-05,4.35069e-05,4.35069e-05
163,4945.87,0.60827,0.42738,1.1686,0.96791,0.98024,0.99297,0.86034,0.59018,0.3081,1.1557,4.15839e-05,4.15839e-05,4.15839e-05
164,4976.11,0.60137,0.42593,1.17174,0.96615,0.97993,0.99198,0.85743,0.58868,0.31869,1.15188,3.97048e-05,3.97048e-05,3.97048e-05
165,5006.35,0.6204,0.44561,1.18457,0.97195,0.97903,0.9924,0.86184,0.5816,0.3126,1.1417,3.78701e-05,3.78701e-05,3.78701e-05
166,5036.61,0.60428,0.43234,1.17447,0.97729,0.98243,0.99297,0.85974,0.57785,0.30176,1.14081,3.60803e-05,3.60803e-05,3.60803e-05
167,5066.88,0.61179,0.44583,1.1815,0.97973,0.98246,0.99319,0.86032,0.58027,0.30027,1.14654,3.43357e-05,3.43357e-05,3.43357e-05
168,5097.14,0.60006,0.42684,1.1726,0.97623,0.98124,0.99318,0.85583,0.59523,0.30935,1.167,3.26369e-05,3.26369e-05,3.26369e-05
169,5127.42,0.60312,0.43193,1.17487,0.97072,0.97928,0.99187,0.8586,0.58528,0.31423,1.15365,3.09843e-05,3.09843e-05,3.09843e-05
170,5157.68,0.59673,0.43032,1.16414,0.96669,0.97957,0.99091,0.85408,0.59307,0.31878,1.16793,2.93782e-05,2.93782e-05,2.93782e-05
